date,objectivity,sentiment
2015-04-13T11:36:56.000Z,0,-1
2015-04-13T13:27:33.000Z,1,0
2015-04-13T15:13:57.000Z,1,0
2015-04-13T19:59:54.000Z,0,1
2015-04-13T20:12:54.000Z,0,0
2015-04-14T09:37:44.000Z,0,-1
2015-04-14T20:25:51.000Z,0,-1
2015-04-14T22:29:08.000Z,1,0
2015-04-15T16:35:09.000Z,0,-1
2015-04-17T00:52:13.000Z,0,0
2015-04-18T10:08:44.000Z,1,0
2015-04-20T08:54:50.000Z,0,0
2015-04-20T09:59:21.000Z,1,0
2015-04-21T10:22:52.000Z,1,0
2015-04-23T06:20:21.000Z,0,1
2015-04-23T12:35:12.000Z,1,0
2015-04-25T20:51:36.000Z,0,-1
2015-04-28T09:16:51.000Z,1,0
2015-04-28T16:38:33.000Z,0,-1
2015-04-30T05:04:14.000Z,1,0
